codebook:,http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf,,,,,,
,,,,,,,
House.csv,,,,,,,
Insuff data,AGEHHMEM8,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM9,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM10,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM11,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM12,Age of the next oldest household member,,,,,
NEW,AVGAGEHH,Average age of household member,,,,,
,AGEHHMEMY,Age of the yountest household member,,,,,
,WORKPAY,Employment income from wages and salaries,,,,,
,RETIREPY,Retirement income from social security or pension,,,,,
,CASHBEN,Cash benefits from temporary assistance,,,,,
,NCASHBEN,Non-cash benefits from food stamps,,,,,
,MONEYPY,Total combined income in the past 12 months,,,,,
,,,,,,,
energy_consumption.csv,,,,,,,
,VARIABLE,VARIABLE LABEL,,,,,
,DOEID,4-digit identification number,,,,,
,LRGSTATE,Four Largest States,,,,,
,TYPEHUQ,Type of Home  (Respondent answer),,,,,
,HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),,,,,
,CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),,,,,
OUTPUT1,KWH,Kilowatt Hours Of Electricity Used,,,,,
Repeat (linear transform),BTUEL,Electric Annual Use In Thousands Of BTU,,,,,
OUTPUT2,CUFEETNG,CCFS (Hundred Cubic Feet) Of Natural Gas,,,,,
Repeat (linear transform),BTUNG,Natural Gas Annual Use In Thousands Of BTU,,,,,
Insuff data,GALLONFO,Gallons Of Fuel Oil Bought,,,,,
Insuff data,BTUFO,Fuel Oil Annual Use In Thousands Of BTU,,,,,
Insuff data,GALLONLP,Gallons Of LPG Bought,,,,,
Insuff data,BTULP,LPG Annual Use In Thousands Of BTU,,,,,
Insuff data,GALLONKR,Gallons Of Kerosene Bought,,,,,
Insuff data,BTUKER,Annual Kerosene Use In Thousands Of BTU,,,,,
,BTUELCDR,Electric Dryer Use (Estimated),,,,,
,BTUELDWH,Electric Dishwasher Use (Estimated),,,,,
,BTUELFZZ,Electric Freezer Use (Estimated),,,,,
,BTUELRFG,Electric Refrigerator Use (Estimated),,,,,
,BTUELCOL,Electric AC Use (Estimated),,,,,
,BTUELWTH,Electric Water Heat Use (Estimated),,,,,
,BTUELSPH,Electric Space Heat Use (Estimated),,,,,
,BTUELAPL,Electric Appliance Use (Estimated),,,,,
,BTUNGAPL,Natural Gas Appliance Use (Estimated),,,,,
,BTUNGWTH,Natural Gas Water Heat Use (Estimated),,,,,
,BTUNGSPH,Natural Gas Space Heat Use (Estimated),,,,,
Insuff data,BTUFOAPL,Fuel Oil Appliance Use (Estimated),,,,,
Insuff data,BTUFOSPH,Fuel Oil Space Heat Use (Estimated),,,,,
Insuff data,BTUFOWTH,Fuel Oil Water Heat Use (Estimated),,,,,
Insuff data,BTULPAPL,LPG Appliance Use (Estimated),,,,,
Insuff data,BTULPSPH,LPG Space Heat Use (Estimated),,,,,
Insuff data,BTULPWTH,LPG Water Heat Use (Estimated),,,,,
Insuff data,BTUWOOD,Annual Wood Consumption Thousands BTU,,,,,
